train_pct,train_size,mae,rmse,smape,training_time_sec
10,2421,0.3865874278132902,0.5521462039030571,41.78073085095804,0.07571125030517578
25,6053,0.6232927331973561,0.7345129313449288,63.48885708701414,0.09174919128417969
50,12106,0.722540455673359,0.8334387498316982,69.19743355243347,0.833404541015625
75,18159,0.8498919525142521,0.9736423266557875,75.02904619115463,0.5453498363494873
100,24212,0.7936535989562783,0.9122315782308287,72.41159198765152,0.6398220062255859
